,Standort,Bestand,Plot,Baumart,BHD,Hoehe,BHDm,BHDmAA,Hm,HmAA,Dq,DqAA,Hq,HqAA,BHDmax,BHDmaxAA,Hmax,HmaxAA,BereichBHDAA,BereichHAA,BereichDHAA,DHmaxAA,BHDdom,BHDdomAA,Hdom,HdomAA,HdAA,GCdAA,VardAA,G,GAA,BALAA,Nlog,NlogAA,SDIAA,MH,BG,LG,RGAA,RNAA,JWBAA,JWAAA,VS,N,NAA,a,b,c,RD
11,La Fusta,1,2,aa,142,27,73.96,117.65,19.61,24.73,84.80,125.23,20.60,25.47,237,237,35,35,211,25.5,17.5,27,193.33,193.33,32.33,32.33,1.97,0.36,36.84,18.29,5.60,1.14,2.02,1.06,67.14,1478,-38.65,-71.52,0.31,0.11,4.16,0.17,3,105.63,11.56,28.66,2.80,0.03,1.133897436
13,La Fusta,1,3,aa,155,27,73.96,117.65,19.61,24.73,84.80,125.23,20.60,25.47,237,237,35,35,211,25.5,17.5,27,193.33,193.33,32.33,32.33,1.97,0.36,36.84,18.29,5.60,1.14,2.02,1.06,67.14,1478,-38.65,-71.52,0.31,0.11,4.16,0.17,3,105.63,11.56,28.66,2.80,0.03,1.237704947
25,La Fusta,1,7,aa,170,23,73.96,117.65,19.61,24.73,84.80,125.23,20.60,25.47,237,237,35,35,211,25.5,17.5,27,193.33,193.33,32.33,32.33,1.97,0.36,36.84,18.29,5.60,1.14,2.02,1.06,67.14,1478,-38.65,-71.52,0.31,0.11,4.16,0.17,3,105.63,11.56,28.66,2.80,0.03,1.357482846
26,La Fusta,1,7,aa,86,19,73.96,117.65,19.61,24.73,84.80,125.23,20.60,25.47,237,237,35,35,211,25.5,17.5,27,193.33,193.33,32.33,32.33,1.97,0.36,36.84,18.29,5.60,1.14,2.02,1.06,67.14,1478,-38.65,-71.52,0.31,0.11,4.16,0.17,3,105.63,11.56,28.66,2.80,0.03,0.686726616
30,La Fusta,1,8,aa,171,23,73.96,117.65,19.61,24.73,84.80,125.23,20.60,25.47,237,237,35,35,211,25.5,17.5,27,193.33,193.33,32.33,32.33,1.97,0.36,36.84,18.29,5.60,1.14,2.02,1.06,67.14,1478,-38.65,-71.52,0.31,0.11,4.16,0.17,3,105.63,11.56,28.66,2.80,0.03,1.365468039
31,La Fusta,1,9,aa,83,17,73.96,117.65,19.61,24.73,84.80,125.23,20.60,25.47,237,237,35,35,211,25.5,17.5,27,193.33,193.33,32.33,32.33,1.97,0.36,36.84,18.29,5.60,1.14,2.02,1.06,67.14,1478,-38.65,-71.52,0.31,0.11,4.16,0.17,3,105.63,11.56,28.66,2.80,0.03,0.662771036
36,La Fusta,1,10,aa,46,12,73.96,117.65,19.61,24.73,84.80,125.23,20.60,25.47,237,237,35,35,211,25.5,17.5,27,193.33,193.33,32.33,32.33,1.97,0.36,36.84,18.29,5.60,1.14,2.02,1.06,67.14,1478,-38.65,-71.52,0.31,0.11,4.16,0.17,3,105.63,11.56,28.66,2.80,0.03,0.367318888
44,La Fusta,1,11,aa,158,25.5,73.96,117.65,19.61,24.73,84.80,125.23,20.60,25.47,237,237,35,35,211,25.5,17.5,27,193.33,193.33,32.33,32.33,1.97,0.36,36.84,18.29,5.60,1.14,2.02,1.06,67.14,1478,-38.65,-71.52,0.31,0.11,4.16,0.17,3,105.63,11.56,28.66,2.80,0.03,1.261660527
49,La Fusta,1,12,aa,155,29,73.96,117.65,19.61,24.73,84.80,125.23,20.60,25.47,237,237,35,35,211,25.5,17.5,27,193.33,193.33,32.33,32.33,1.97,0.36,36.84,18.29,5.60,1.14,2.02,1.06,67.14,1478,-38.65,-71.52,0.31,0.11,4.16,0.17,3,105.63,11.56,28.66,2.80,0.03,1.237704947
59,La Fusta,1,14,aa,37,10,73.96,117.65,19.61,24.73,84.80,125.23,20.60,25.47,237,237,35,35,211,25.5,17.5,27,193.33,193.33,32.33,32.33,1.97,0.36,36.84,18.29,5.60,1.14,2.02,1.06,67.14,1478,-38.65,-71.52,0.31,0.11,4.16,0.17,3,105.63,11.56,28.66,2.80,0.03,0.295452149
62,La Fusta,1,15,aa,34,9.5,73.96,117.65,19.61,24.73,84.80,125.23,20.60,25.47,237,237,35,35,211,25.5,17.5,27,193.33,193.33,32.33,32.33,1.97,0.36,36.84,18.29,5.60,1.14,2.02,1.06,67.14,1478,-38.65,-71.52,0.31,0.11,4.16,0.17,3,105.63,11.56,28.66,2.80,0.03,0.271496569
63,La Fusta,1,15,aa,140,25,73.96,117.65,19.61,24.73,84.80,125.23,20.60,25.47,237,237,35,35,211,25.5,17.5,27,193.33,193.33,32.33,32.33,1.97,0.36,36.84,18.29,5.60,1.14,2.02,1.06,67.14,1478,-38.65,-71.52,0.31,0.11,4.16,0.17,3,105.63,11.56,28.66,2.80,0.03,1.117927049
71,La Fusta,1,17,aa,172,27,73.96,117.65,19.61,24.73,84.80,125.23,20.60,25.47,237,237,35,35,211,25.5,17.5,27,193.33,193.33,32.33,32.33,1.97,0.36,36.84,18.29,5.60,1.14,2.02,1.06,67.14,1478,-38.65,-71.52,0.31,0.11,4.16,0.17,3,105.63,11.56,28.66,2.80,0.03,1.373453232
72,La Fusta,1,17,aa,93,21,73.96,117.65,19.61,24.73,84.80,125.23,20.60,25.47,237,237,35,35,211,25.5,17.5,27,193.33,193.33,32.33,32.33,1.97,0.36,36.84,18.29,5.60,1.14,2.02,1.06,67.14,1478,-38.65,-71.52,0.31,0.11,4.16,0.17,3,105.63,11.56,28.66,2.80,0.03,0.742622968
73,La Fusta,1,18,aa,144,26,73.96,117.65,19.61,24.73,84.80,125.23,20.60,25.47,237,237,35,35,211,25.5,17.5,27,193.33,193.33,32.33,32.33,1.97,0.36,36.84,18.29,5.60,1.14,2.02,1.06,67.14,1478,-38.65,-71.52,0.31,0.11,4.16,0.17,3,105.63,11.56,28.66,2.80,0.03,1.149867822
79,La Fusta,1,19,aa,115,28,73.96,117.65,19.61,24.73,84.80,125.23,20.60,25.47,237,237,35,35,211,25.5,17.5,27,193.33,193.33,32.33,32.33,1.97,0.36,36.84,18.29,5.60,1.14,2.02,1.06,67.14,1478,-38.65,-71.52,0.31,0.11,4.16,0.17,3,105.63,11.56,28.66,2.80,0.03,0.918297219
80,La Fusta,1,19,aa,126,26,73.96,117.65,19.61,24.73,84.80,125.23,20.60,25.47,237,237,35,35,211,25.5,17.5,27,193.33,193.33,32.33,32.33,1.97,0.36,36.84,18.29,5.60,1.14,2.02,1.06,67.14,1478,-38.65,-71.52,0.31,0.11,4.16,0.17,3,105.63,11.56,28.66,2.80,0.03,1.006134344
83,La Fusta,1,20,aa,71,20,73.96,117.65,19.61,24.73,84.80,125.23,20.60,25.47,237,237,35,35,211,25.5,17.5,27,193.33,193.33,32.33,32.33,1.97,0.36,36.84,18.29,5.60,1.14,2.02,1.06,67.14,1478,-38.65,-71.52,0.31,0.11,4.16,0.17,3,105.63,11.56,28.66,2.80,0.03,0.566948718
86,La Fusta,1,21,aa,121,29,73.96,117.65,19.61,24.73,84.80,125.23,20.60,25.47,237,237,35,35,211,25.5,17.5,27,193.33,193.33,32.33,32.33,1.97,0.36,36.84,18.29,5.60,1.14,2.02,1.06,67.14,1478,-38.65,-71.52,0.31,0.11,4.16,0.17,3,105.63,11.56,28.66,2.80,0.03,0.966208378
87,La Fusta,1,21,aa,103,24,73.96,117.65,19.61,24.73,84.80,125.23,20.60,25.47,237,237,35,35,211,25.5,17.5,27,193.33,193.33,32.33,32.33,1.97,0.36,36.84,18.29,5.60,1.14,2.02,1.06,67.14,1478,-38.65,-71.52,0.31,0.11,4.16,0.17,3,105.63,11.56,28.66,2.80,0.03,0.822474901
88,La Fusta,1,21,aa,140,25,73.96,117.65,19.61,24.73,84.80,125.23,20.60,25.47,237,237,35,35,211,25.5,17.5,27,193.33,193.33,32.33,32.33,1.97,0.36,36.84,18.29,5.60,1.14,2.02,1.06,67.14,1478,-38.65,-71.52,0.31,0.11,4.16,0.17,3,105.63,11.56,28.66,2.80,0.03,1.117927049
92,La Fusta,1,22,aa,100,25,73.96,117.65,19.61,24.73,84.80,125.23,20.60,25.47,237,237,35,35,211,25.5,17.5,27,193.33,193.33,32.33,32.33,1.97,0.36,36.84,18.29,5.60,1.14,2.02,1.06,67.14,1478,-38.65,-71.52,0.31,0.11,4.16,0.17,3,105.63,11.56,28.66,2.80,0.03,0.798519321
93,La Fusta,1,23,aa,170,30,73.96,117.65,19.61,24.73,84.80,125.23,20.60,25.47,237,237,35,35,211,25.5,17.5,27,193.33,193.33,32.33,32.33,1.97,0.36,36.84,18.29,5.60,1.14,2.02,1.06,67.14,1478,-38.65,-71.52,0.31,0.11,4.16,0.17,3,105.63,11.56,28.66,2.80,0.03,1.357482846
94,La Fusta,1,23,aa,121,33,73.96,117.65,19.61,24.73,84.80,125.23,20.60,25.47,237,237,35,35,211,25.5,17.5,27,193.33,193.33,32.33,32.33,1.97,0.36,36.84,18.29,5.60,1.14,2.02,1.06,67.14,1478,-38.65,-71.52,0.31,0.11,4.16,0.17,3,105.63,11.56,28.66,2.80,0.03,0.966208378
