"","Standort","Bestand","Plot","Baumart","BHD","Hoehe"
"11","La Fusta","1",2,"aa",142,27
"13","La Fusta","1",3,"aa",155,27
"25","La Fusta","1",7,"aa",170,23
"26","La Fusta","1",7,"aa",86,19
"30","La Fusta","1",8,"aa",171,23
"31","La Fusta","1",9,"aa",83,17
"36","La Fusta","1",10,"aa",46,12
"44","La Fusta","1",11,"aa",158,25.5
"49","La Fusta","1",12,"aa",155,29
"59","La Fusta","1",14,"aa",37,10
"62","La Fusta","1",15,"aa",34,9.5
"63","La Fusta","1",15,"aa",140,25
"71","La Fusta","1",17,"aa",172,27
"72","La Fusta","1",17,"aa",93,21
"73","La Fusta","1",18,"aa",144,26
"79","La Fusta","1",19,"aa",115,28
"80","La Fusta","1",19,"aa",126,26
"83","La Fusta","1",20,"aa",71,20
"86","La Fusta","1",21,"aa",121,29
"87","La Fusta","1",21,"aa",103,24
"88","La Fusta","1",21,"aa",140,25
"92","La Fusta","1",22,"aa",100,25
"93","La Fusta","1",23,"aa",170,30
"94","La Fusta","1",23,"aa",121,33
"105","La Fusta","1",25,"aa",123,24
"106","La Fusta","1",25,"aa",85,16
"110","La Fusta","1",26,"aa",106,33
"117","La Fusta","1",27,"aa",110,29
"123","La Fusta","1",28,"aa",110,29
"124","La Fusta","1",28,"aa",95,27
"125","La Fusta","1",28,"aa",171,35
"126","La Fusta","1",28,"aa",105,29
"130","La Fusta","1",29,"aa",143,27
"131","La Fusta","1",29,"aa",160,29
"132","La Fusta","1",29,"aa",97,25
"133","La Fusta","1",29,"aa",171,35
"135","La Fusta","1",30,"aa",41,16
"136","La Fusta","1",30,"aa",132,32
"143","La Fusta","1",31,"aa",100,25
"152","La Fusta","1",34,"aa",146,24
"155","La Fusta","1",35,"aa",100,18
"283","La Fusta","3",1,"aa",157,23
"285","La Fusta","3",2,"aa",57,8
"287","La Fusta","3",2,"aa",38,10
"288","La Fusta","3",2,"aa",163,24
"295","La Fusta","3",3,"aa",23,9
"296","La Fusta","3",3,"aa",85,18
"304","La Fusta","3",4,"aa",70,16
"305","La Fusta","3",4,"aa",100,23
"314","La Fusta","3",5,"aa",86,20
"329","La Fusta","3",8,"aa",79,18
"335","La Fusta","3",9,"aa",56,12
"356","La Fusta","3",17,"aa",54,13
"369","La Fusta","3",19,"aa",128,20
"380","La Fusta","3",20,"aa",57,14
"381","La Fusta","3",20,"aa",128,20
"388","La Fusta","3",21,"aa",163,24
"392","La Fusta","3",21,"aa",128,20
"394","La Fusta","3",22,"aa",35,18
"398","La Fusta","3",22,"aa",30,8
"400","La Fusta","3",22,"aa",163,24
"402","La Fusta","3",23,"aa",70,14
"403","La Fusta","3",23,"aa",100,24
"404","La Fusta","3",23,"aa",62,17
"408","La Fusta","3",23,"aa",76,24
"410","La Fusta","3",23,"aa",164,24
"411","La Fusta","3",24,"aa",76,24
"422","La Fusta","3",25,"aa",47,12
"433","La Fusta","3",27,"aa",110,23
"437","La Fusta","3",28,"aa",84,14
"438","La Fusta","3",28,"aa",110,23
"442","La Fusta","3",29,"aa",164,25
"447","La Fusta","3",30,"aa",164,25
"455","La Fusta","3",31,"aa",167,21
"463","La Fusta","3",32,"aa",167,21
"464","La Fusta","3",32,"aa",82,21
"482","La Fusta","3",35,"aa",164,25
"483","La Fusta","3",35,"aa",71,17
"488","La Fusta","3",36,"aa",164,25
"489","La Fusta","3",36,"aa",71,17
"490","La Fusta","3",36,"aa",110,23
"491","La Fusta","4",1,"aa",100,20
"507","La Fusta","4",4,"aa",20,6
"554","La Fusta","4",9,"aa",95,17
"564","La Fusta","4",11,"aa",52,8.5
"608","La Fusta","4",19,"aa",72,19
"614","La Fusta","4",20,"aa",164,24
"615","La Fusta","4",20,"aa",93,28
"624","La Fusta","4",21,"aa",91,24
"717","La Fusta","4",29,"aa",23,4.5
"718","La Fusta","4",29,"aa",105,28
"719","La Fusta","4",29,"aa",85,25
"733","La Fusta","4",31,"aa",110,24
"735","La Fusta","4",31,"aa",137,27
"740","La Fusta","4",32,"aa",46,9
"757","La Fusta","4",33,"aa",89,26
"779","La Fusta","4",35,"aa",86,19
"796","La Fusta","4",36,"aa",170,37
"809","Conguillio","5",1,"aa",71,19
"810","Conguillio","5",1,"aa",62,18
"819","Conguillio","5",2,"aa",18,9
"827","Conguillio","5",3,"aa",32,9
"829","Conguillio","5",3,"aa",60,18
"843","Conguillio","5",4,"aa",90,17
"860","Conguillio","5",5,"aa",34,10
"861","Conguillio","5",5,"aa",78,19
"864","Conguillio","5",5,"aa",40,7
"882","Conguillio","5",6,"aa",80,19
"883","Conguillio","5",6,"aa",12,4
"897","Conguillio","5",7,"aa",41,12
"898","Conguillio","5",7,"aa",59,14
"911","Conguillio","5",8,"aa",49,19
"922","Conguillio","5",9,"aa",98,16
"930","Conguillio","5",10,"aa",79,23
"936","Conguillio","5",10,"aa",74,18
"954","Conguillio","5",11,"aa",13,5
"956","Conguillio","5",11,"aa",81,19
"965","Conguillio","5",12,"aa",71,17
"977","Conguillio","5",13,"aa",110,23
"982","Conguillio","5",13,"aa",33,14
"996","Conguillio","5",14,"aa",67,15
"1006","Conguillio","5",15,"aa",103,23
"1009","Conguillio","5",15,"aa",33,12
"1025","Conguillio","5",16,"aa",63,14
"1032","Conguillio","5",17,"aa",80,23
"1033","Conguillio","5",17,"aa",62,18
"1050","Conguillio","5",18,"aa",14,8
"1058","Conguillio","5",19,"aa",113,24
"1059","Conguillio","5",19,"aa",27,13
"1076","Conguillio","5",20,"aa",44,11
"1083","Conguillio","5",21,"aa",27,8
"1085","Conguillio","5",21,"aa",75,17
"1093","Conguillio","5",22,"aa",39,15
"1097","Conguillio","5",22,"aa",68,18
"1111","Conguillio","5",23,"aa",70,16
"1112","Conguillio","5",23,"aa",66,22
"1119","Conguillio","5",24,"aa",39,14
"1140","Conguillio","5",25,"aa",57,20
"1142","Conguillio","5",25,"aa",37,18
"1152","Conguillio","5",26,"aa",70,13
"1162","Malalcahuello","6",1,"aa",96,16
"1169","Malalcahuello","6",2,"aa",74,19
"1172","Malalcahuello","6",2,"aa",15,5
"1175","Malalcahuello","6",3,"aa",166,22
"1185","Malalcahuello","6",5,"aa",100,18
"1188","Malalcahuello","6",6,"aa",84,19
"1190","Malalcahuello","6",6,"aa",57,10
"1196","Malalcahuello","6",7,"aa",48,13
"1203","Malalcahuello","6",9,"aa",69,17
"1212","Malalcahuello","6",11,"aa",160,31
"1222","Malalcahuello","6",13,"aa",65,18
"1230","Malalcahuello","6",15,"aa",87,11
"1243","Malalcahuello","6",18,"aa",74,16
"1247","Malalcahuello","6",20,"aa",37,16
"1248","Malalcahuello","6",20,"aa",86,22
"1257","Malalcahuello","6",21,"aa",93,21
"1271","Malalcahuello","6",22,"aa",38,9
"1273","Malalcahuello","6",22,"aa",93,21
"1296","Malalcahuello","6",23,"aa",33,7
"1297","Malalcahuello","6",23,"aa",85,25
"1299","Malalcahuello","6",23,"aa",146,30
"1305","Malalcahuello","6",24,"aa",17,9
"1306","Malalcahuello","6",24,"aa",72,24
"1339","Malalcahuello","6",26,"aa",82,20
"1340","Malalcahuello","6",26,"aa",80,16
"1350","Malalcahuello","6",27,"aa",58,11
"1352","Malalcahuello","6",27,"aa",21,4.5
"1365","Malalcahuello","6",28,"aa",123,23
"1366","Malalcahuello","6",28,"aa",60,12
"1374","Malalcahuello","6",29,"aa",63,20
"1377","Malalcahuello","6",29,"aa",123,23
"1384","Malalcahuello","6",30,"aa",75,26
"1385","Malalcahuello","6",30,"aa",34,13
"1387","Malalcahuello","6",30,"aa",86,26
"1394","Malalcahuello","6",31,"aa",89,26
"1440","Malalcahuello","6",33,"aa",26,9
"1454","Malalcahuello","6",34,"aa",27,10
"1455","Malalcahuello","6",34,"aa",148,24
"1461","Malalcahuello","6",35,"aa",62,23
"1472","Malalcahuello","6",36,"aa",49,18
"1473","Malalcahuello","6",36,"aa",59,22
"1485","El Naranjo","7",1,"aa",55,12
"1488","El Naranjo","7",2,"aa",33,5
"1490","El Naranjo","7",2,"aa",170,22
"1501","El Naranjo","7",3,"aa",86,22.5
"1517","El Naranjo","7",5,"aa",45,10
"1525","El Naranjo","7",6,"aa",60,12
"1526","El Naranjo","7",6,"aa",156,24
"1533","El Naranjo","7",7,"aa",67,13
"1547","El Naranjo","7",8,"aa",87,16
"1553","El Naranjo","7",8,"aa",7,2
"1557","El Naranjo","7",9,"aa",85,11.5
"1568","El Naranjo","7",10,"aa",166,22
"1569","El Naranjo","7",10,"aa",47,15
"1576","El Naranjo","7",11,"aa",68,17.5
"1582","El Naranjo","7",12,"aa",33,7.5
"1587","El Naranjo","7",12,"aa",196,18
"1592","El Naranjo","7",13,"aa",106,16
