Standort,Bestand,Plot,Baumart,BHD,Hoehe
La Fusta,1,1,np,79,14.5
La Fusta,1,1,np,40,
La Fusta,1,1,np,44,
La Fusta,1,1,np,52,
La Fusta,1,1,np,37,
La Fusta,1,1,np,38,11.5
La Fusta,1,1,np,65,
La Fusta,1,1,np,20,9.5
La Fusta,1,1,np,69,
La Fusta,1,1,np,23,
La Fusta,1,2,aa,142,27
La Fusta,1,2,np,24,24
La Fusta,1,3,aa,155,27
La Fusta,1,3,np,48,13
La Fusta,1,3,np,54,16.5
La Fusta,1,4,aa,38,
La Fusta,1,4,np,96,20
La Fusta,1,4,np,78,
La Fusta,1,4,np,61,
La Fusta,1,4,np,32,9
La Fusta,1,4,np,53,15
La Fusta,1,5,np,52,21
La Fusta,1,5,np,39,17.5
La Fusta,1,6,np,65,16.5
La Fusta,1,7,aa,170,23
La Fusta,1,7,aa,86,19
La Fusta,1,7,aa,108,
La Fusta,1,7,np,54,15
La Fusta,1,7,np,66,
La Fusta,1,8,aa,171,23
La Fusta,1,9,aa,83,17
La Fusta,1,9,np,36,
La Fusta,1,9,np,40,12
La Fusta,1,9,np,59,
La Fusta,1,9,np,33,16.5
La Fusta,1,10,aa,46,12
La Fusta,1,10,np,60,
La Fusta,1,10,np,68,15
La Fusta,1,10,np,19,
La Fusta,1,10,np,20,
La Fusta,1,11,aa,26,
La Fusta,1,11,aa,124,
La Fusta,1,11,aa,135,
La Fusta,1,11,aa,158,25.5
La Fusta,1,11,np,23,11
La Fusta,1,11,np,104,
La Fusta,1,11,np,44,
La Fusta,1,11,np,55,17.5
La Fusta,1,12,aa,155,29
La Fusta,1,12,np,101,
La Fusta,1,12,np,39,15
La Fusta,1,12,np,49,19
La Fusta,1,13,np,105,19
La Fusta,1,13,np,46,
La Fusta,1,13,np,48,
La Fusta,1,13,np,31,14.5
La Fusta,1,13,np,37,15
La Fusta,1,13,np,35,
La Fusta,1,14,aa,37,10
La Fusta,1,14,np,37,17
La Fusta,1,14,np,68,19
La Fusta,1,15,aa,34,9.5
La Fusta,1,15,aa,140,25
La Fusta,1,15,np,47,
La Fusta,1,15,np,71,
La Fusta,1,15,np,57,16
La Fusta,1,16,np,69,18
La Fusta,1,16,np,35,13.5
La Fusta,1,16,np,56,
La Fusta,1,16,np,22,13
La Fusta,1,17,aa,172,27
La Fusta,1,17,aa,93,21
La Fusta,1,18,aa,144,26
La Fusta,1,18,aa,111,
La Fusta,1,18,aa,138,
La Fusta,1,18,np,38,16.5
La Fusta,1,18,np,68,16.5
La Fusta,1,18,np,45,
La Fusta,1,19,aa,115,28
La Fusta,1,19,aa,126,26
La Fusta,1,19,np,70,19
La Fusta,1,19,np,98,15
La Fusta,1,20,aa,71,20
La Fusta,1,20,np,57,17
La Fusta,1,20,np,15,15
La Fusta,1,21,aa,121,29
La Fusta,1,21,aa,103,24
La Fusta,1,21,aa,140,25
La Fusta,1,21,np,42,17.5
La Fusta,1,21,np,113,19
La Fusta,1,21,np,92,14
La Fusta,1,22,aa,100,25
La Fusta,1,23,aa,170,30
La Fusta,1,23,aa,121,33
La Fusta,1,23,aa,237,
La Fusta,1,23,np,34,16
La Fusta,1,23,np,37,
La Fusta,1,23,np,43,
La Fusta,1,23,np,76,24
La Fusta,1,23,np,77,
La Fusta,1,23,np,84,
La Fusta,1,23,np,92,21
La Fusta,1,24,np,67,19.5
La Fusta,1,24,np,56,21
La Fusta,1,25,aa,123,24
La Fusta,1,25,aa,85,16
La Fusta,1,25,np,42,15
La Fusta,1,25,np,80,15
La Fusta,1,25,np,89,18
La Fusta,1,26,aa,106,33
La Fusta,1,26,np,48,
La Fusta,1,26,np,76,26
La Fusta,1,26,np,50,18.5
La Fusta,1,26,np,59,24
La Fusta,1,26,np,88,19
La Fusta,1,26,np,54,
La Fusta,1,27,aa,110,29
La Fusta,1,27,np,66,22
La Fusta,1,27,np,43,
La Fusta,1,27,np,48,16
La Fusta,1,27,np,24,8
La Fusta,1,27,np,71,
La Fusta,1,28,aa,110,29
La Fusta,1,28,aa,95,27
La Fusta,1,28,aa,171,35
La Fusta,1,28,aa,105,29
La Fusta,1,28,np,32,8
La Fusta,1,28,np,22,7
La Fusta,1,28,np,56,17
La Fusta,1,29,aa,143,27
La Fusta,1,29,aa,160,29
La Fusta,1,29,aa,97,25
La Fusta,1,29,aa,171,35
La Fusta,1,29,np,39,10
La Fusta,1,30,aa,41,16
La Fusta,1,30,aa,132,32
La Fusta,1,30,np,48,15
La Fusta,1,30,np,41,13
La Fusta,1,30,np,65,
La Fusta,1,30,np,71,
La Fusta,1,30,np,38,
La Fusta,1,30,np,83,25
La Fusta,1,31,aa,100,25
La Fusta,1,31,np,49,
La Fusta,1,31,np,36,
La Fusta,1,31,np,25,19
La Fusta,1,31,np,51,22
La Fusta,1,32,np,48,18
La Fusta,1,33,np,77,11
La Fusta,1,33,np,64,
La Fusta,1,33,np,52,20
La Fusta,1,34,aa,146,24
La Fusta,1,34,np,51,22
La Fusta,1,34,np,68,20
La Fusta,1,35,aa,100,18
La Fusta,1,35,np,64,19
La Fusta,1,35,np,46,
La Fusta,1,35,np,60,
