"","Standort","Bestand","Plot","Baumart","BHD","Hoehe"
"161","La Fusta","2",1,"aa",57,13
"162","La Fusta","2",2,"aa",139,25
"168","La Fusta","2",3,"aa",139,25
"176","La Fusta","2",5,"aa",33,13
"178","La Fusta","2",6,"aa",61,16
"187","La Fusta","2",11,"aa",139,25
"198","La Fusta","2",15,"aa",58,18
"203","La Fusta","2",19,"aa",81,30
"218","La Fusta","2",22,"aa",166,36
"219","La Fusta","2",23,"aa",52,13
"220","La Fusta","2",23,"aa",207,44
"221","La Fusta","2",23,"aa",166,36
"224","La Fusta","2",25,"aa",207,44
"226","La Fusta","2",27,"aa",73,21
"227","La Fusta","2",27,"aa",166,36
"228","La Fusta","2",27,"aa",207,34
"235","La Fusta","2",28,"aa",166,36
"244","La Fusta","2",29,"aa",98.7,22
"260","La Fusta","2",33,"aa",33,28
"270","La Fusta","2",34,"aa",207,34
"271","La Fusta","2",35,"aa",89,20
"280","La Fusta","2",36,"aa",207,34
"2952","El Naranjo","12",1,"aa",73,18
"2957","El Naranjo","12",2,"aa",53,15
"2961","El Naranjo","12",2,"aa",74,20
"2965","El Naranjo","12",3,"aa",74,19
"2973","El Naranjo","12",4,"aa",42,11
"2974","El Naranjo","12",4,"aa",85,19
"2978","El Naranjo","12",6,"aa",238,35
"2980","El Naranjo","12",6,"aa",64,5
"2982","El Naranjo","12",6,"aa",27,9
"2984","El Naranjo","12",7,"aa",92,19
"2988","El Naranjo","12",8,"aa",93,24
"2989","El Naranjo","12",8,"aa",82,20
"2996","El Naranjo","12",9,"aa",86,16
"3006","El Naranjo","12",10,"aa",82,18
"3008","El Naranjo","12",10,"aa",40,12
"3013","El Naranjo","12",11,"aa",82,21
"3020","El Naranjo","12",12,"aa",28,6
"3023","El Naranjo","12",12,"aa",114,25
"3030","El Naranjo","12",14,"aa",78,18
"3032","El Naranjo","12",14,"aa",83,17
"3037","El Naranjo","12",15,"aa",94,14
"3050","El Naranjo","12",16,"aa",124,29
"3057","El Naranjo","12",16,"aa",18,8.5
"3064","El Naranjo","12",17,"aa",73.5,20.5
"3068","El Naranjo","12",18,"aa",78,27
"3069","El Naranjo","12",18,"aa",47,10
"3076","El Naranjo","12",19,"aa",91,27
"3080","El Naranjo","12",20,"aa",74,19
"3093","El Naranjo","12",21,"aa",9,4.5
"3097","El Naranjo","12",21,"aa",30,6.5
"3098","El Naranjo","12",21,"aa",77.4,21.5
"3099","El Naranjo","12",22,"aa",94,15
"3100","El Naranjo","12",22,"aa",50,17
"3109","El Naranjo","12",23,"aa",80.5,26
"3117","El Naranjo","12",24,"aa",172,34.5
"3122","El Naranjo","12",24,"aa",65,18
"3129","El Naranjo","12",25,"aa",91,20
