Störung,Bestand,DBHm,Hm,Dq,Hq,DBHmax,Hmax,DBHdom,Hdom,BA,ALT,N,DBHmAA,HmAA,DqAA,HqAA,DBHmaxAA,HmaxAA,RangeDBHAA,RangeHAA,RangeHDAA,HDmaxAA,DBHdomAA,HdomAA,HdAA,GCdAA,VardAA,BAAA,BALAA,SDIAA,RBAAA,RNAA,NAA,DBHmNP,HmNP,DqNP,HqNP,DBHmaxNP,HmaxNP,RangeDBHNP,RangeHNP,RangeHDNP,HDmaxNP,DBHdomNP,HdomNP,GCdNP,VardNP,BANP,BALNP,SDINP,RBANP,RNNP,NNP,HdNP
high,1,73.96,19.61,84.8,20.6,237,35,193.33,32.33,18.29,1478,105.63,117.65,24.73,125.23,25.47,237,35,211,25.5,17.5,27,193.33,32.33,1.97,0.36,36.84,5.6,1.14,67.14,0.31,0.11,11.56,54.67,16.5,58.68,17,113,26,98,19,4,19,107.33,17.67,0.41,39.19,12.69,0.34,206.3,0.69,0.89,94.07,1.47
high,2,52.38,19.54,71.33,22.07,207,44,207,40.67,13,1402,364.53,118.75,27.41,133.13,28.99,207,44,174,31,31,44,207,40.67,1.9,0.49,51.73,2.78,1.78,32.25,0.21,0.02,6.6,34.35,13.14,40.68,14.11,99,27,92,23,16,20,95.33,16.67,0.6,63.83,10.22,0.38,210.93,0.79,0.98,357.93,1.4
high,3,58.44,15.2,71.25,16.43,167,25,166,22.33,23,1413,483.19,94.91,19.03,102.1,19.72,167,25,144,17,12,21,166,22.33,1.92,0.41,39.91,8.56,1.08,108.84,0.37,0.05,22.32,36.85,11.88,43.69,12.9,103,21,96,18.5,15,18,98.67,18.33,0.59,63.96,14.44,0.38,269.24,0.63,0.95,460.87,1.5
none,4,48.53,14.39,61.17,16.49,193,37,181,29.67,35.33,1542,1789.57,99.16,20.35,106.78,22.12,180,37,160,32.5,31,37,171.33,29.33,1.95,0.4,40.49,4.11,1.1,56.1,0.12,0.01,13.28,41.87,12.52,52.29,14.27,193,30,190,27,25,28,158,21.33,0.63,74.94,31.22,0.96,734.17,0.88,0.99,1776.29,1.65
none,5,73.65,18.27,81.6,19.27,217,35,199.67,32,54.31,1304,382.63,60.87,15.5,65.59,16.3,130,24,122,20,20,24,121,23.33,1.58,0.38,40.31,16.46,0.47,237.89,0.3,0.43,165.5,46.71,15.58,50.42,16.27,86,23,80,14,7,16,78.67,20,0.4,41.3,4.77,0.2,96.64,0.09,0.29,109.31,1.34
none,6,55.78,16.78,63.38,18.06,175,31,172,25.67,36.23,1360,613.59,67.36,17.7,75.28,18.91,175,31,163,26.5,17,22,172,25.67,1.76,0.49,50.08,13.83,1.28,205.44,0.38,0.15,89.38,47.99,15.6,54,16.85,145,26,142,23.5,16.5,19,130.67,23,0.5,51.75,21.71,0.74,409.42,0.6,0.84,512.64,1.62
low,7,67.56,15.41,76.53,17.3,196,37,180.33,18,39.89,1617,485.99,68.16,15.49,77.09,17.42,196,37,191,35,15.7,18,180.33,18,1.9,0.51,52.92,39.11,1.3,627.69,0.98,0.98,475.83,37.14,14,39.22,14.99,57,21,36,13,13,21,50.67,14,0.41,36.63,0.78,0.1,16.49,0.02,0.02,10.16,0.68
low,8,62.97,16.58,72.1,18.95,164,36,161,21.33,48.22,1609,769.87,63.76,17.09,72.7,19.42,164,36,158,34.2,21.2,23,161,21.33,1.94,0.52,54.83,47.22,1.02,786.22,0.98,0.94,723.26,25.56,9,33.05,9.67,83,15,74,9,7,15,45.33,9.33,0.75,87,1,0.11,16.78,0.02,0.06,46.6,0.85
low,9,58.62,15.79,67.07,17.02,181,29,177.67,24.67,44.89,1691,698.61,64.21,16.5,71.08,17.73,181,27,169,24,17,25,177.67,23.67,1.77,0.47,47.6,26.96,1.34,410.06,0.6,0.27,185.5,50.15,15.05,60.48,16.23,152,29,148,26,25,29,142,22,0.61,67.72,17.93,0.86,326.73,0.4,0.73,513.11,1.78
medium,10,88.6,19.03,95.61,20.21,191,37,185.33,30.67,32.32,1652,218.89,92.19,20.03,99.88,21.4,191,37,185,31,18,32,185.33,26.67,2.03,0.4,41.85,22.88,1.24,309.22,0.71,0.87,191.11,79.91,17.65,84.38,18.45,180,29,157,23,23,29,157.67,24,0.35,34.24,9.44,0.91,128.96,0.29,0.13,27.78,1.48
medium,11,75.91,18.61,81.46,19.55,191,36,161,29,27.36,1670,181.97,78.87,19,85.21,20.47,191,36,182,33,27,30,161,29,1.82,0.39,41.12,13.6,0.93,188.87,0.5,0.65,118.6,72.99,18.3,77.58,18.76,134,25,115,17,16,24,129.33,22.5,0.36,36.22,13.76,0.59,193.62,0.5,0.35,63.37,1.71
medium,12,71.29,16.66,77.84,17.81,238,35,194,29.5,29.6,1618,168.55,75.14,17.97,81.48,19.44,238,35,229,30.5,30.5,35,194,32.83,1.74,0.41,42.11,20.8,1.38,292.9,0.7,0.62,105.19,62.19,14.87,68.45,15.31,130,21,112,13,11,19,127.67,18,0.47,46.41,8.8,0.58,145.27,0.3,0.38,63.37,1.74
