BHDmAA,HmAA,DqAA,HqAA,BHDmaxAA,HmaxAA,BereichBHDAA,BereichHAA,BereichDHAA,DHmaxAA,BHDdomAA,HdomAA,HdAA,GCdAA,VardAA,GAA,BALAA,SDIAA,RGAA,RNAA,NAA,JWBAA,JWAAA
117.65,24.73,125.23,25.47,237,35,211,25.5,17.5,27,193.33,32.33,1.97,0.36,36.84,5.60,1.14,67.14,0.31,0.11,11.56,4.16,0.17
118.75,27.41,133.13,28.99,207,44,174,31,31,44,207.00,40.67,1.90,0.49,51.73,2.78,1.78,32.25,0.21,0.02,6.60,1.58,0.45
94.91,19.03,102.10,19.72,167,25,144,17,12,21,166.00,22.33,1.92,0.41,39.91,8.56,1.08,108.84,0.37,0.05,22.32,7.83,0.45
99.16,20.35,106.78,22.12,180,37,160,32.5,31,37,171.33,29.33,1.95,0.40,40.49,4.11,1.10,56.10,0.12,0.01,13.28,5.56,0.88
60.87,15.50,65.59,16.30,130,24,122,20,20,24,121.00,23.33,1.58,0.38,40.31,16.46,0.47,237.89,0.30,0.43,165.50,5.56,0.32
67.36,17.70,75.28,18.91,175,31,163,26.5,17,22,172.00,25.67,1.76,0.49,50.08,13.83,1.28,205.44,0.38,0.15,89.38,4.03,0.34
68.16,15.49,77.09,17.42,196,37,191,35,15.7,18,180.33,18.00,1.90,0.51,52.92,39.11,1.30,627.69,0.98,0.98,475.83,9.97,0.95
63.76,17.09,72.70,19.42,164,36,158,34.2,21.2,23,161.00,21.33,1.94,0.52,54.83,47.22,1.02,786.22,0.98,0.94,723.26,16.44,1.00
64.21,16.50,71.08,17.73,181,27,169,24,17,25,177.67,23.67,1.77,0.47,47.60,26.96,1.34,410.06,0.60,0.27,185.50,7.41,1.00
92.19,20.03,99.88,21.40,191,37,185,31,18,32,185.33,26.67,2.03,0.40,41.85,22.88,1.24,309.22,0.71,0.87,191.11,3.22,0.05
78.87,19.00,85.21,20.47,191,36,182,33,27,30,161.00,29.00,1.82,0.39,41.12,13.60,0.93,188.87,0.50,0.65,118.60,2.69,0.28
75.14,17.97,81.48,19.44,238,35,229,30.5,30.5,35,194.00,32.83,1.74,0.41,42.11,20.80,1.38,292.90,0.70,0.62,105.19,9.69,0.76
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
