BHDm,Hm,Dq,Hq,BHDmax,Hmax,BHDdom,Hdom,G,MH,N
73.96,19.61,84.80,20.60,237,35,193.33,32.33,18.29,1478,105.63
52.38,19.54,71.33,22.07,207,44,207.00,40.67,13.00,1402,364.53
58.44,15.20,71.25,16.43,167,25,166.00,22.33,23.00,1413,483.19
48.53,14.39,61.17,16.49,193,37,181.00,29.67,35.33,1542,1789.57
73.65,18.27,81.60,19.27,217,35,199.67,32.00,54.31,1304,382.63
55.78,16.78,63.38,18.06,175,31,172.00,25.67,36.23,1360,613.59
67.56,15.41,76.53,17.30,196,37,180.33,18.00,39.89,1617,485.99
62.97,16.58,72.10,18.95,164,36,161.00,21.33,48.22,1609,769.87
58.62,15.79,67.07,17.02,181,29,177.67,24.67,44.89,1691,698.61
88.60,19.03,95.61,20.21,191,37,185.33,30.67,32.32,1652,218.89
75.91,18.61,81.46,19.55,191,36,161.00,29.00,27.36,1670,181.97
71.29,16.66,77.84,17.81,238,35,194.00,29.50,29.60,1618,168.55
